Роликовая букса;8;Смазка ЛЗ-ЦНИИ ГОСТ 19791-74;Заменить смазку;12,0;;
Пятник и скользуны;6;Смазка УСсА ГОСТ 3333-80;Нанести на трущиеся поверхности;1,0;;
Направляющие букс;16;Масло осевое Л ГОСТ 610-72;Поливом масленкой;1,6;;
Шток и манжета тормозного цилиндра;1;Солидол Ж ГОСТ 1033-79;Заменить смазку;0,3;;
Валики тормозных рычагов;10;Солидол Ж ГОСТ 1033;Наружный смазать;0,2;;
Шарнирные соединения ручного тормоза;5;Солидол Ж ГОСТ 1033;Наружный смазать;0,1;;
Винт ручного тормоза;1;Солидол Ж ГОСТ 1033;Наружный смазать;0,15;;
Направляющие торцевых упоров;4;Солидол Ж ГОСТ 1033;Наружный смазать;0,4;;
Резьбы транспортных упоров;4;Солидол Ж ГОСТ 1033;Наружный смазать;0,8;;
Цапфы и подшипниковые узлы опор гидроцилиндров;12;Смазка ЦИАТИМ 201 ГОСТ 6267-74;Заменить смазку;1,2;;
Пальцы крепления опорной рамы;4;Солидол Ж ГОСТ 1033;Наружный смазать;0,2;;
Подшипниковые узлы роликового транспортера;40;Солидол Ж ГОСТ 1033;Заменить смазку;8,0;;
Подшипниковые узлы тележек механизма смещения;8;Солидол Ж ГОСТ 1033;Заменить смазку;1,6;;
Картер дизеля ТМЗ 450Д/90Г;1;Масло МЗ3-8Г2 ГОСТ 8581-78;Заменить масло;2,3;;
Редуктор привода силового;1;Масло трансмиссионное ТАП-15В или ТЗ-3-18 ГОСТ 23652-79;Заменить масло;2,7;;
Гидравлическая система;1;Масло гидравлическое ВМГЗ ТУ 38.101479-86;Заменить масло;65;;
